text,label
"Παρακαλώ πολύ, σήμερα, Κυριακή, 30 /01 / 2022 και ώρα 7:32 μ.μ. το λεωφορείο με αριθμό δρομολογίου 509, με κατεύθυνση από Ζηρίνειο προς Άγιο Στέφανο Αττικής, δεν σταμάτησε στην στάση επί της λεωφόρου Θησέως, στην Εκάλη, στην πλατεία Βασιλέως Παύλου, παρόλο που του έκανε σήμα η κόρη μου, η οποία περίμενε μέσα στη νύχτα και στην παγωνιά,  Αντιθέτως ο οδηγός έτρεχε με υπερβολική, παράνομη ταχύτητα και δεν σταμάτησε 
 Παρακαλώ πολύ, όπως με ενημερώσετε για τα στοιχεία του συγκεκριμένου οδηγού, για το συγκεκριμένο δρομολόγιο, γιατί θα ασκήσω μήνυση εναντίον του, ασκώντας όλα τα νόμιμα δικαιώματά μου, επιφυλασσόμενη αυτών, καθόσον είμαι δικηγόρος. 
Σε τόσο δύσκολους καιρούς που ζούμε και ενόψει τόσο δύσκολων καιρικών συνθηκών , τέτοιες συμπεριφορές είναι απαράδεκτες και αδιανόητες !!!
  Ευχαριστώ πολύ
ΕΛΕΝΗ ΠΑΝΤΑΖΗ",9
"Σήμερα ώρα 5 και 15 περίπου βρέθηκα στο τρόλεϊ 25 με κατεύθυνση τον Άγιο Αντώνιο ,το πήρα από την στάση νεκροταφείο επί της Λεωφόρου Θηβών.
Ο οδηγός καθώς οδηγούσε έπαιζε και με το κινητό του και έκανε αρκετά λάθη με τις πόρτες που μια τις ανοίγε και μία δεν τις ανοίγε σε στάσεις . καθώς οι επιβάτες κατέβαιναν εκείνος όταν ξεκινούσε τους έβριζε λέγοντας τους μαλακες.

Στο τέλος έμεινα μόνη μου στον Άγιο Αντώνιο στο τέρμα και περίμενα να ξανά ξεκινησει καθώς ήθελα να κατέβω στην στάση δημαρχείο , εκείνος ήταν δυσάρεστημενος που μάλλον δεν κατέβηκα και περίμενα μέσα και με κοιτούσε και ξεφυσουσε Κουνοντας το κεφάλι του.

Τον ρώτησα αν περνάει από την στάση δημαρχείο γιατί θεώρησα ότι έκανα κάποιο λάθος εγώ και εκείνος  βαριοταν να μου απάντησει και απαντούσε κοφτά και με ύφος ""μη με ζαλίζεις""  και λέγοντας μου ότι κάνει διάλειμμα και θα ξεκινήσει σε 15 λεπτά και όταν ξεκινήσει τότε κάποια στιγμή θα φτάσω εκεί που θέλω..

Του είπα ότι έχετε για κάποιο λόγο μια σύγχυση και κατέβηκα...μετά από 10 λεπτά τον είδα να περνάει από μπροστά μου και να κατευθύνεται προς τα εκεί που θα πήγαινα και εγώ....που εν τέλη πήγα με τα πόδια...

Αν ο Κύριος είναι δυσαρεστημένος με την δουλειά του ας αλλάξει..ο κόσμος που εξυπηρετει και πληρώνεται από αυτόν δεν του φταίει σε κάτι..η συμπεριφορά αυτή είναι ανεπίτρεπτη . ντροπή",10
ετρεχα και την στιιγμη που εφτασα στην σταση μου εκλεισε την πορτα το λεωφορειο ηταν το #845 στην γραμμη 856,11
δρομολογιο καθε 35 λεπτα κι ακομα κι αυτα δεν τα εκτελουν,12
Περιμένω το λεωφορείο στην στάση Παρνασσού (μια στάση μετά το τέρμα του 909) και 2 μέρες τώρα έχει τύχει μετά τις 22:00 να ξεκινάει και να πηγαίνει από άλλον δρόμο πιο κάτω με αποτέλεσμα να μην περνάει από τις πρώτες 3-4 στάσεις  και να το περιμένω επί ώρες βλέποντας το από τους χάρτες να έχει περάσει την στάση μου με μαγικό τρόπο ΕΛΕΟΣ ΠΙΑ διορθώστε το,13
Θέλω να πάρω το 909 προς Αφετηρία από την στάση Παρνασσού και 2 φορές δεν πέρασε ΔΛΔ ΕΛΕΟΣ,13
"Ο οδηγός κάπνιζε στο όχημα και η ατμόσφαιρα ήταν αποπνικτική και άκρως επικίνδυνη για την υγεία μας. Γραμμή 221, στάση καφενείο με κατεύθυνση προς κέντρο, Σάββατο 29/01/22, 15:50. Πινακίδες οχήματος ΧΕΚ6267",14
"Καλησπέρα σας, 

Παρακαλώ εξηγήστε μας πως γίνεται η Άνω Ηλιούπολη να είναι ακόμα εγκλωβισμένη χωρίς καμία λεωφορειακή γραμμή (ούτε το 206 ούτε το 212) να λειτουργεί. 
Χθες στην εξυπηρέτηση που κάλεσα μου είπαν πως η 212 λειτουργεί ενώ ξέρετε πως δεν λειτουργεί στο σύνολο της παρά μόνο σε ένα μέρος της. Χθες το πρωί στο ίδιο τηλέφωνο ενημερώθηκα πως από την στάση Αρχιμήδους θα πέρναγε το λεωφορείο σε 15λεπτά, πήγα στην στάση απευθείας και κανένα λεωφορείο δεν πέρασε μέχρι και 1 ώρα μετά που περίμενα. Μου είπαν ακόμη πως οι Επόπτες ελέγχουν αν υπάρχουν ακόμα χιόνια ή παγετός ώστε να εκτελεστεί ή όχι ένα δρομολόγιο. Προ ολίγου κάλεσα ξανά να μάθω  για τα σημερινά δρομολόγια (για το απόγευμα που με ενδιαφέρει να επιστρέψω από τη δουλειά μου) καθώς ακόμη καμία ανακοίνωση δεν έχει βγει στο site σας και ο κύριος στη Θέση 823 με ενημέρωσε οτι δεν γνωρίζει.  Διερωτάμαι λοιπόν, ποιός γνωρίζει ώστε να ενημερώσει κι εμάς τους Πελάτες σας?Ποιοί είναι αυτοί οι Επόπτες που υποστηρίζουν πως ο δρόμος που το 206 κάνει έχει χιόνι ή πάγο? Πότε πέρασαν τελευταία από τον δρόμο και είδαν οτι έχει πάγο? Οι δρόμοι είναι ΠΕΝΤΑΚΑΘΑΡΟΙ και δεν υπάρχει ΚΑΝΕΝΑΣ ΑΠΟΛΥΤΩΣ ΛΟΓΟΣ να μην εκτελούνται τα δρομολόγια της γραμμής!!! Σας το επιβεβαιώνω γιατί σήμερα στις 06:30πμ πέρασα για μια ακόμη ημέρα με ταξί για να πάω στην δουλειά μου. Το έχετε ελέγξει???Πότε σκοπεύετε να βάλετε τα λεωφορεία στη γραμμή???",15
Ακόμα και σήμερα παρόλο που ο δρόμος έχει καθαριστεί δεν υπάρχουν δρομολόγια(ουτε 1 για την ακρίβεια).. απαράδεκτο γιατι δουλεύουμε κιολας!,15
ΣΗΜΕΡΑ ΠΡΩΙ 09.00 ΕΠΙΒΙΒΑΣΤΗΚΑ ΣΕ ΛΕΩΦΟΡΕΙΟ ΠΕΙΡΑΙΑΣ - ΒΟΥΛΑ Α1 ΑΠΟ ΣΤΑΣΗ ΚΛΕΙΣΟΒΗΣ ΣΤΟ ΠΕΙΡΑΙΑ.ΚΑΘΗΣΑ  KONTA ΣΤΟΝ ΟΔΗΓΟ ΑΦΗΝΟΝΤΑΣ ΚΕΝΟ ΚΑΘΙΣΜΑ ΔΙΠΛΑ ΜΟΥ ΜΕ ΕΠΙΓΡΑΦΗ STOP ΛΟΓΩ ΜΕΤΡΩΝ COVID. ΜΕ ΕΚΠΛΗΞΗ ΜΟΥ ΜΕΤΑ ΜΕΡΙΚΕΣ ΣΤΑΣΕΙΣ ΕΝΤΟς ΠΕΙΡΑΙΑ ΗΛΘΕ ΚΑΙ ΚΑΘΙΣΕ ΔΙΠΛΑ ΜΟΥ ΚΥΡΙΟΣ Ο ΟΠΟΙΟΣ ΠΑΡΑ ΤΗΝ ΥΠΟΔΕΙΞΗ ΚΑΙ ΔΙΑΜΑΡΤΥΡΙΑ ΜΟΥ ΑΡΝΗΘΗΚΕ ΝΑ ΣΗΚΩΘΕΙ Ο ΔΕ ΟΔΗΓΟΣ ΤΟΝ ΟΠΟΙΟ ΚΑΛΕΣΑ  ΑΔΙΑΦΟΡΗΣΕ ΠΑΝΤΕΛΩΣ - ΣΗΚΩΘΗΚΑ ΑΠΟ ΤΗΝ ΘΕΣΗ ΜΟΥ ΑΜΕΣΩΣ ΚΑΙ ΣΥΝΕΧΙΣΑ ΤΗ ΔΙΔΡΟΜΗ ΜΟΥ ΟΡΘΙΟΣ - ΤΟ ΛΕΩΦΟΡΕΙΟ ΗΤΑΝ ΜΕ ΕΝΤΟΝΗ ΘΕΡΜΑΝΣΗ ΚΑΙ ΟΛΑ ΤΑ ΠΑΡΑΘΥΡΑ ΚΛΕΙΣΤΑ ΕΝΩ ΓΕΜΙΖΕ ΣΤΑΔΙΑΚΑ- ΠΑΡΑΤΗΡΗΣΑ ΜΕ ΕΚΠΛΗΞΗ ΜΟΥ ΟΤΙ ΣΕ ΟΛΕΣ ΤΙς ΘΕΣΕΙς ΗΤΑΝ ΚΑΘΗΜΕΝΟΙ ΕΠΙΒΑΤΕΣ ΑΔΙΑΦΟΡΩΝΤΑς ΓΙΑ ΤΗ ΣΧΕΤΙΚΗ ΑΠΑΓΟΡΕΥΣΗ ΕΝΩ ΠΟΛΛΟΙ ΑΠΟ ΑΥΤΟΥς ΔΕ ΦΟΡΟΎΣΑΝ ΠΡΟΒΛΕΠΟΜΕΝΗ ΜΑΣΚΑ ΑΛΛΑ ΑΠΛΕΣ ΥΦΑΣΜΑΤΙΝΕΣ ΕΝΩ ΜΕΡΙΚΟΙ ΕΙΧΑΝ ΑΠΛΑ ΣΗΚΩΜΕΝΟ ΤΟ ΓΙΑΚΑ ΜΠΡΟΣΤΑ ΣΤΟ ΣΤΟΜΑ ΤΟΥΣ. ΤΟΣΟ  Ο ΑΡΧΙΚΟΣ ΟΔΗΓΟΣ ΟΣΟ ΚΑΙ Ο ΔΕΥΤΕΡΟΣ ΠΟΥ ΕΠΙΒΙΒΑΣΤΗΚΕ ΓΙΑ ΑΛΛΑΓΗ ΣΤΟ ΕΙΡΗΝΗΣ ΚΑΙ ΦΙΛΙΑΣ ΑΔΙΑΦΟΡΟΥΣΑΝ ΠΛΗΡΩς ΓΙΑ ΤΗ ΚΑΤΑΣΤΑΣΗ ΕΝΤΟς ΤΟΥ ΛΕΩΦΟΡΕΙΟΥ ΤΗΝ ΚΑΤΑΠΑΤΗΣΗ ΤΩΝ ΜΕΤΡΩΝ ΚΑΤΑ ΤΗΣ ΠΑΝΔΗΜΙΑΣ ΚΑΙ ΤΗ ΠΡΟΣΤΑΣΙΑ ΤΗς ΔΗΜΟΣΙΑΣ ΥΓΕΙΑΣ . ΕΠΕΙΔΗ ΣΤΗ ΠΑΡΑΛΙΑΚΗ ΕΙΧΕ ΤΡΟΜΕΡΗ ΚΙΝΗΣΗ ΛΟΓΩ ΤΡΟΧΑΙΟΥ ΑΛΛΑ ΚΥΡΙΩΣ  ΦΟΒΟΥΜΕΝΟΣ ΓΙΑ ΤΗΝ ΥΓΕΙΑ ΜΟΥ ΑΠΟΒΙΒΑΣΤΗΚΑ ΣΤΟ ΤΡΟΚΑΝΤΕΡΟ ΚΑΙ ΣΥΝΕΧΙΣΑ ΤΗ ΔΙΑΔΡΟΜΗ ΜΟΥ ΜΕ ΤΟ ΤΡΑΜ. ΣΑς ΕΡΩΤΩ ΠΩΣ ΠΡΟΣΤΑΤΕΥEΤΕ Ως ΑΡΜΟΔΙΟΣ ΦΟΡΕΑΣ ΤΗΝ ΥΓΕΙΑ ΜΟΥ Ως ΕΠΙΒΑΤΟΥ ΠΟΥ ΧΡΗΣΙΜΟΠΟΙΕΙ ΤΙΣ ΥΠΗΡΕΣΙΕς ΣΑΣ ΚΑΙ ΓΙΑΤΙ ΑΔΙΑΦΟΡΕΊ ΠΛΗΡΩς Ο ΟΔΗΓΟΣ ΓΙΑ ΤΑ ΔΙΑΔΡΑΜΑΤΙΖΟΜΕΝΑ ΕΝΤΟς ΤΟΥ ΛΕΩΦΟΡΕΙΟΥ;; ΠΟΙΟΣ ΕΙΝΑΙ ΤΕΛΙΚΑ ΥΠΕΥΘΥΝΟΣ ΓΙΑ ΤΗΝ ΕΦΑΡΜΟΓΗ ΤΩΝ ΜΕΤΡΩΝ ΚΑΤΑ ΤΗς ΠΑΝΔΗΜΙΑΣ Ή ΑΠΟΜΕΝΕΙ ΣΤΟΥς ΕΠΙΒΑΤΕΣ ΝΑ ΕΠΙΒΑΛΛΟΥΝ ΛΟΓΙΚΗ ΣΤΟΥς ΑΝΟΗΤΟΥς ΣΥΝΕΠΙΒΑΤΕς; ; ΠΑΡΟΜΟΙΑ ΠΕΡΙΣΤΑΤΙΚΑ ΕΧΩ ΠΑΡΑΤΗΡΗΣΕΙ ΚΑΙ ΣΕ ΑΛΛΑ ΛΕΩΦΟΡΕΙΑ ΣΑΣ ΑΚΟΜΗ ΚΑΙ ΕΠΙΒΑΤΕΣ ΧΩΡΙΣ ΜΑΣΚΑ ΜΕ ΑΠΟΤΕΛΕΣΜΑ ΝΑ ΔΗΜΙΟΥΡΓΟΥΝΤΑΙ ΣΟΒΑΡΟΙ ΔΙΑΠΛΗΚΤΙΣΜΟΙ ΜΕΤΑΞΥ ΕΠΙΒΑΤΩΝ ΜΕ ΤΟΝ ΟΔΗΓΟ ΠΑΝΤΑ ΑΜΕΤΟΧΟ ΝΑ ΝΟΜΙΖΕΙ ΠΡΟΦΑΝΩΣ ΟΤΙ Ο ΙΔΙΟΣ ΕΙΝΑΙ ΠΡΟΣΤΑΤΕΥΜΕΝΟΣ ΕΠΕΙΔΗ ΣΕ ΚΛΕΙΣΤΟ ΧΩΡΟ ΓΕΜΑΤΟ ΑΝΘΡΩΠΟΥΣ  ΕΧΕΙ ΔΗΘΕΝ ΑΠΟΣΤΑΣΗ ΑΣΦΑΛΕΙΑΣ 1.5 - 2.0 ΜΕΤΡΩΝ ΑΠΟ ΤΟΥΣ ΕΠΙΒΑΤΕΣ - Η ΠΡΟΣΤΑΣΙΑ ΤΗΣ ΔΗΜΟΣΙΑΣ ΥΓΕΙΑΣ ΜΑΣ ΑΦΟΡΑ ΟΛΟΥΣ ΑΛΛΑ Ως ΑΡΜΟΔΙΟΣ ΦΟΡΕΑΣ ΔΙΑΧΕΙΡΙΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΤΩΝ ΜΜΜ ΟΦΕΙΛΕΤΕ ΝΑ ΑΝΑΛΑΜΒΑΝΕΤΕ ΤΙΣ ΕΥΘΥΝΕΣ ΣΑΣ ΣΥΜΦΩΝΑ ΜΕ ΤΗΝ ΑΥΞΗΜΕΝΗ ΕΥΘΥΝΗ ΠΟΥ ΣΥΝΕΠΑΓΕΤΑΙ Ο ΡΟΛΟΣ ΣΑΣ . Η ΔΙΑΜΑΡΤΥΡΙΑ ΜΟΥ ΑΥΤΗ ΘΑ ΚΟΙΝΟΠΟΙΗΘΕΙ ΚΑΙ ΣΤΟΝ ΕΟΔΥ ΓΙΑ ΕΝΗΜΕΡΩΣΗ ΤΟΥ ΚΑΙ ΤΙΣ ΚΑΤΑ ΚΡΙΣΗ ΤΟΥ ΕΝΕΡΓΕΙΕΣ ΚΑΙ ΟΠΟΥ ΑΛΛΟΥ ΚΡΙΘΕΙ ΣΚΟΠΙΜΟ . Ο ΑΡΙΘΜΟΣ ΤΟΥ ΛΕΩΦΟΡΕΙΟΥ ΗΤΑΝ ΧΕΚ - 6224 .,16
Ο οδηγός του 876 ΔΕΝ σταμάτησε ενώ ήμασταν 3 άτομα εξω από την σταση της αεν Ασπροπύργου ενώ είχαμε σηκώσει το χέρι μας. Απαραδεκτο,17
Το πρωί που μπήκα στον ημερήσιο προγραμματισμό έγραφε ότι θα έχει λεοφωρεια μέχρι και το τελευταίο δρομολόγιο των 23:20. Επιστρεφοντας από την εργασία μου δεν υπήρχαν λεοφωρεια. Και μπαίνοντας ξανά στον ημερήσιο προγραμματισμό έλεγε ότι τελευταίο δρομολόγιο είναι των 20:15. Δεν φτάνει που έχετε βάλει αυτή την απαράδεκτη κατάσταση του ημερήσιου προγραμματισμού για να καλύπτετε την ανικανότητα σας να τηρησετε το πρόγραμμα.... Δεν είναι καν ημερήσιος γιατί χωρίς προειδοποίηση το αλλάζετε μέσα στη διάρκεια της ημέρας. Αφήσατε στη στάση να περιμένει πόσος κόσμος χωρίς να ενημερώσετε και χωρίς να ενδιαφέρεστε! Είστε το λιγότερο τραγικοί και ανίκανοι να διεκπεραίωσετε τη δουλειά που έχετε αναλάβει. ΕΛΕΟΣ ΠΙΑ!!!,18
"Για ακόμα μια φορά το δρομολόγιο του 704 μας αφήνει ανεκδιήγητα νευριασμενους. Δεν είναι δυνατόν να καθυστερώ στην εργασία μου επειδή οι κύριοι οδηγοί δεν κάνουν σωστά τη δουλειά τους. Το δρομολόγιο των 11:35 σήμερα δεν εκτελέστηκε ποτέ ενώ υπάρχει στον ημερήσιο προγραμματισμό και φαινόταν το λεοφωρειο στο χάρτη να κάθεται και να περιμένει στην αφετηρία. Δεν με ενδιαφέρει αν υπήρχε βλάβη, αν ο οδηγός έπινε καφέ και δεν ήθελε να τον αφήσει απλά δεν με νοιάζει. ΦΤΙΑΞΤΕ ΤΟ!!!",18
Περιμενουμε στη σταση Σχολεια στο Μοσχατο απο τις 09:30 αλλα το 218 δεν εχει περασει ακομα ενω ειναι 10:50 Το συστημα σας γραφει οτι ναναι. Συμφωνα μ'αυτο θα επρεπε ναχουν περασει 3 λεωφορεια αλλα δεν περασε ουτε ενα.,19
